,Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,Season
252,Bruce Brown,BKN,vs.MIA,2021-01-23,W,17,8,3,4,75.0,1,1,100,1,2,50.0,2,6,8,1,0,0,0,2,2,2020-21
253,Duncan Robinson,MIA,@BKN,2021-01-23,L,42,18,6,15,40.0,3,11,27.3,3,3,100,0,5,5,1,0,0,2,2,-5,2020-21
254,Bam Adebayo,MIA,@BKN,2021-01-23,L,38,41,14,20,70.0,1,1,100,12,14,85.7,0,5,5,9,1,0,1,5,4,2020-21
255,Timothe Luwawu-Cabarrot,BKN,vs.MIA,2021-01-23,W,16,3,1,4,25.0,1,3,33.3,0,0,-,0,2,2,4,0,0,0,0,-3,2020-21
256,Kendrick Nunn,MIA,@BKN,2021-01-23,L,32,18,7,14,50.0,4,9,44.4,0,0,-,0,5,5,3,1,0,1,4,-4,2020-21
257,Gabe Vincent,MIA,@BKN,2021-01-23,L,20,2,1,5,20.0,0,4,0.0,0,0,-,0,0,0,3,0,0,0,3,0,2020-21
258,Reggie Perry,BKN,vs.MIA,2021-01-23,W,12,4,1,4,25.0,0,0,-,2,3,66.7,3,2,5,0,0,1,2,3,0,2020-21
259,Jeff Green,BKN,vs.MIA,2021-01-23,W,26,11,4,8,50.0,3,4,75.0,0,0,-,0,5,5,3,0,0,1,6,-2,2020-21
260,James Harden,BKN,vs.MIA,2021-01-23,W,38,12,2,8,25.0,0,5,0.0,8,9,88.9,0,7,7,11,0,0,6,2,4,2020-21
261,Joe Harris,BKN,vs.MIA,2021-01-23,W,37,23,8,14,57.1,7,12,58.3,0,0,-,0,2,2,2,0,1,2,3,1,2020-21
262,Andre Iguodala,MIA,@BKN,2021-01-23,L,26,5,1,3,33.3,1,3,33.3,2,4,50.0,0,3,3,2,3,0,2,1,7,2020-21
263,Jerami Grant,DET,vs.PHI,2021-01-23,L,35,11,3,19,15.8,2,9,22.2,3,4,75.0,2,7,9,3,2,1,2,5,-8,2020-21
264,Mason Plumlee,DET,vs.PHI,2021-01-23,L,19,7,2,5,40.0,0,0,-,3,4,75.0,1,4,5,2,0,1,4,6,3,2020-21
265,Shake Milton,PHI,@DET,2021-01-23,W,22,8,3,9,33.3,1,2,50.0,1,1,100,2,1,3,3,0,0,2,3,-5,2020-21
266,Furkan Korkmaz,PHI,@DET,2021-01-23,W,13,8,2,3,66.7,2,3,66.7,2,2,100,0,4,4,0,0,0,0,1,-5,2020-21
