,Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,Season
2694,Kawhi Leonard,LAC,@GSW,2021-01-06,W,35,21,7,12,58.3,0,3,0.0,7,7,100,0,4,4,4,1,1,7,2,14,2020-21
2695,Patrick Beverley,LAC,@GSW,2021-01-06,W,30,7,2,8,25.0,1,5,20.0,2,2,100,1,0,1,3,1,1,0,3,8,2020-21
2696,Nicolas Batum,LAC,@GSW,2021-01-06,W,26,13,4,9,44.4,3,6,50.0,2,2,100,3,2,5,0,1,0,1,2,13,2020-21
2697,James Wiseman,GSW,vs.LAC,2021-01-06,L,18,10,5,10,50.0,0,0,-,0,0,-,1,3,4,0,1,1,3,3,-7,2020-21
2698,Mychal Mulder,GSW,vs.LAC,2021-01-06,L,8,3,1,2,50.0,1,2,50.0,0,0,-,0,1,1,1,0,0,0,1,-3,2020-21
2699,Kevon Looney,GSW,vs.LAC,2021-01-06,L,12,6,2,2,100,0,0,-,2,2,100,2,1,3,3,1,0,3,2,-4,2020-21
2700,Damion Lee,GSW,vs.LAC,2021-01-06,L,22,7,2,5,40.0,2,4,50.0,1,2,50.0,0,3,3,1,2,0,1,1,3,2020-21
2701,Patrick Williams,CHI,@SAC,2021-01-06,L,22,9,3,6,50.0,1,2,50.0,2,2,100,1,1,2,1,1,0,0,5,2,2020-21
2702,Otto Porter Jr.,CHI,@SAC,2021-01-06,L,26,3,1,8,12.5,1,5,20.0,0,0,-,1,5,6,3,0,0,0,1,-14,2020-21
2703,De'Aaron Fox,SAC,vs.CHI,2021-01-06,W,5,3,1,2,50.0,0,1,0.0,1,2,50.0,0,0,0,1,0,0,0,0,2,2020-21
2704,Buddy Hield,SAC,vs.CHI,2021-01-06,W,35,10,3,15,20.0,2,9,22.2,2,2,100,0,3,3,3,1,0,1,3,7,2020-21
2705,Richaun Holmes,SAC,vs.CHI,2021-01-06,W,30,24,10,11,90.9,0,1,0.0,4,6,66.7,3,5,8,5,1,0,1,5,10,2020-21
2706,Glenn Robinson III,SAC,vs.CHI,2021-01-06,W,24,14,5,7,71.4,2,3,66.7,2,2,100,0,3,3,2,0,0,0,0,-2,2020-21
2707,Wendell Carter Jr.,CHI,@SAC,2021-01-06,L,30,11,4,9,44.4,0,0,-,3,4,75.0,6,11,17,4,0,0,1,1,2,2020-21
2708,Zach LaVine,CHI,@SAC,2021-01-06,L,36,32,13,24,54.2,3,11,27.3,3,5,60.0,0,7,7,3,0,1,6,3,-4,2020-21
2709,Tyrese Haliburton,SAC,vs.CHI,2021-01-06,W,35,17,7,15,46.7,3,7,42.9,0,0,-,4,3,7,6,3,1,0,2,0,2020-21
2710,Daniel Gafford,CHI,@SAC,2021-01-06,L,11,4,2,2,100,0,0,-,0,0,-,0,0,0,0,0,1,0,3,-1,2020-21
2711,Coby White,CHI,@SAC,2021-01-06,L,40,36,15,23,65.2,4,9,44.4,2,2,100,0,3,3,7,0,0,0,1,-5,2020-21
2712,Marvin Bagley III,SAC,vs.CHI,2021-01-06,W,29,21,8,14,57.1,3,5,60.0,2,2,100,3,9,12,0,2,2,2,1,1,2020-21
2713,Denzel Valentine,CHI,@SAC,2021-01-06,L,21,10,4,10,40.0,2,7,28.6,0,0,-,0,4,4,5,2,0,0,2,10,2020-21
2714,Harrison Barnes,SAC,vs.CHI,2021-01-06,W,37,20,7,10,70.0,3,4,75.0,3,5,60.0,0,0,0,5,1,0,3,1,6,2020-21
2715,Cory Joseph,SAC,vs.CHI,2021-01-06,W,25,7,3,10,30.0,0,3,0.0,1,2,50.0,0,2,2,3,0,0,0,2,-1,2020-21
2716,Nemanja Bjelica,SAC,vs.CHI,2021-01-06,W,19,12,3,7,42.9,1,4,25.0,5,6,83.3,2,2,4,5,0,0,0,2,-3,2020-21
2717,Thaddeus Young,CHI,@SAC,2021-01-06,L,21,8,4,5,80.0,0,1,0.0,0,0,-,0,2,2,0,0,0,3,2,-2,2020-21
2718,Garrett Temple,CHI,@SAC,2021-01-06,L,33,11,3,6,50.0,3,5,60.0,2,2,100,2,0,2,4,0,0,4,3,-8,2020-21
2719,Chris Paul,PHX,vs.TOR,2021-01-06,W,32,12,4,12,33.3,0,0,-,4,4,100,1,3,4,8,2,0,0,2,1,2020-21
2720,Jae Crowder,PHX,vs.TOR,2021-01-06,W,35,21,7,11,63.6,6,9,66.7,1,2,50.0,0,3,3,1,1,0,2,4,-2,2020-21
2721,Langston Galloway,PHX,vs.TOR,2021-01-06,W,5,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,1,0,1,2020-21
2722,Kyle Lowry,TOR,@PHX,2021-01-06,L,38,24,9,15,60.0,3,8,37.5,3,3,100,2,7,9,6,1,0,4,4,-5,2020-21
2723,Cameron Johnson,PHX,vs.TOR,2021-01-06,W,23,16,6,10,60.0,4,7,57.1,0,0,-,0,3,3,0,1,0,1,1,9,2020-21
2724,Yuta Watanabe,TOR,@PHX,2021-01-06,L,16,3,1,4,25.0,1,2,50.0,0,0,-,1,2,3,0,0,1,1,2,-14,2020-21
2725,Jevon Carter,PHX,vs.TOR,2021-01-06,W,17,6,2,4,50.0,2,4,50.0,0,0,-,0,1,1,0,0,2,1,2,10,2020-21
2726,Mikal Bridges,PHX,vs.TOR,2021-01-06,W,29,13,3,10,30.0,3,7,42.9,4,4,100,3,1,4,3,0,1,1,4,4,2020-21
2727,Chris Boucher,TOR,@PHX,2021-01-06,L,15,9,3,4,75.0,2,3,66.7,1,1,100,0,2,2,1,0,1,1,1,-6,2020-21
2728,OG Anunoby,TOR,@PHX,2021-01-06,L,38,20,8,10,80.0,3,5,60.0,1,2,50.0,2,6,8,0,1,0,1,2,0,2020-21
2729,Norman Powell,TOR,@PHX,2021-01-06,L,26,13,2,7,28.6,2,5,40.0,7,8,87.5,0,1,1,1,1,0,1,1,-10,2020-21
2730,Cameron Payne,PHX,vs.TOR,2021-01-06,W,16,5,1,3,33.3,1,1,100,2,2,100,0,3,3,10,0,0,1,2,7,2020-21
2731,Dario Saric,PHX,vs.TOR,2021-01-06,W,17,15,6,11,54.5,2,3,66.7,1,1,100,1,4,5,1,0,0,0,2,9,2020-21
2732,Malachi Flynn,TOR,@PHX,2021-01-06,L,4,0,0,3,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,-1,2020-21
2733,Fred VanVleet,TOR,@PHX,2021-01-06,L,39,13,5,12,41.7,2,5,40.0,1,2,50.0,1,3,4,7,2,1,1,3,5,2020-21
2734,Pascal Siakam,TOR,@PHX,2021-01-06,L,38,32,11,21,52.4,1,4,25.0,9,14,64.3,4,5,9,3,1,1,1,3,-1,2020-21
2735,DeAndre' Bembry,TOR,@PHX,2021-01-06,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-2,2020-21
2736,Alex Len,TOR,@PHX,2021-01-06,L,12,1,0,1,0.0,0,1,0.0,1,2,50.0,0,1,1,0,0,1,1,2,-10,2020-21
2737,Aron Baynes,TOR,@PHX,2021-01-06,L,13,0,0,2,0.0,0,1,0.0,0,0,-,0,5,5,0,0,0,1,1,4,2020-21
2738,Deandre Ayton,PHX,vs.TOR,2021-01-06,W,31,11,5,8,62.5,0,1,0.0,1,1,100,2,14,16,1,0,0,2,5,-1,2020-21
2739,Devin Booker,PHX,vs.TOR,2021-01-06,W,35,24,6,14,42.9,3,8,37.5,9,10,90.0,1,0,1,6,0,0,1,1,2,2020-21
2740,Mike Muscala,OKC,@NOP,2021-01-06,W,21,18,6,9,66.7,5,7,71.4,1,1,100,0,3,3,1,0,1,0,0,-3,2020-21
2741,Josh Hart,NOP,vs.OKC,2021-01-06,L,28,0,0,4,0.0,0,2,0.0,0,0,-,2,8,10,1,3,0,2,2,2,2020-21
2742,Hamidou Diallo,OKC,@NOP,2021-01-06,W,21,9,4,8,50.0,0,1,0.0,1,4,25.0,0,1,1,3,1,1,1,0,-3,2020-21
2743,Kenrich Williams,OKC,@NOP,2021-01-06,W,13,2,1,3,33.3,0,1,0.0,0,0,-,0,2,2,2,1,0,1,2,1,2020-21
2744,Nickeil Alexander-Walker,NOP,vs.OKC,2021-01-06,L,27,13,5,14,35.7,0,5,0.0,3,3,100,1,4,5,1,2,0,1,3,9,2020-21
2745,Isaiah Roby,OKC,@NOP,2021-01-06,W,11,5,2,2,100,1,1,100,0,0,-,1,1,2,0,0,0,2,2,-3,2020-21
2746,Theo Maledon,OKC,@NOP,2021-01-06,W,19,6,2,4,50.0,2,2,100,0,0,-,0,2,2,4,0,0,3,3,-4,2020-21
2747,JJ Redick,NOP,vs.OKC,2021-01-06,L,8,2,1,4,25.0,0,0,-,0,0,-,0,0,0,1,0,0,0,0,-5,2020-21
2748,Eric Bledsoe,NOP,vs.OKC,2021-01-06,L,25,13,5,9,55.6,2,4,50.0,1,2,50.0,0,3,3,3,2,0,2,1,-11,2020-21
2749,Steven Adams,NOP,vs.OKC,2021-01-06,L,34,10,4,5,80.0,0,0,-,2,5,40.0,2,9,11,10,1,0,2,2,4,2020-21
2750,Brandon Ingram,NOP,vs.OKC,2021-01-06,L,36,24,9,15,60.0,0,2,0.0,6,6,100,1,10,11,4,0,0,2,0,5,2020-21
2751,Lonzo Ball,NOP,vs.OKC,2021-01-06,L,36,15,6,18,33.3,2,9,22.2,1,1,100,0,4,4,4,0,0,4,5,5,2020-21
2752,Zion Williamson,NOP,vs.OKC,2021-01-06,L,32,29,12,17,70.6,0,0,-,5,6,83.3,3,3,6,1,3,0,2,3,-9,2020-21
2753,Jaxson Hayes,NOP,vs.OKC,2021-01-06,L,14,4,2,3,66.7,0,0,-,0,0,-,0,2,2,0,0,0,0,2,-5,2020-21
2754,Al Horford,OKC,@NOP,2021-01-06,W,27,8,3,11,27.3,2,7,28.6,0,0,-,1,6,7,1,0,3,1,3,4,2020-21
2755,George Hill,OKC,@NOP,2021-01-06,W,27,13,4,9,44.4,3,7,42.9,2,2,100,1,2,3,4,2,0,1,1,4,2020-21
2756,Shai Gilgeous-Alexander,OKC,@NOP,2021-01-06,W,37,21,7,17,41.2,2,7,28.6,5,6,83.3,0,5,5,9,5,0,2,2,-4,2020-21
2757,Darius Bazley,OKC,@NOP,2021-01-06,W,34,20,8,20,40.0,3,11,27.3,1,1,100,1,11,12,3,1,0,3,3,9,2020-21
2758,Luguentz Dort,OKC,@NOP,2021-01-06,W,31,9,3,4,75.0,1,2,50.0,2,2,100,0,1,1,1,0,0,0,2,4,2020-21
2759,Jaylen Adams,MIL,vs.DET,2021-01-06,W,1,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,-2,2020-21
2760,Donte DiVincenzo,MIL,vs.DET,2021-01-06,W,22,4,2,8,25.0,0,3,0.0,0,0,-,1,3,4,1,0,0,2,2,10,2020-21
2761,Giannis Antetokounmpo,MIL,vs.DET,2021-01-06,W,28,25,8,15,53.3,1,5,20.0,8,14,57.1,2,6,8,4,0,1,5,4,24,2020-21
2762,Khris Middleton,MIL,vs.DET,2021-01-06,W,31,23,9,15,60.0,5,6,83.3,0,0,-,1,4,5,7,0,0,2,3,17,2020-21
2763,Jrue Holiday,MIL,vs.DET,2021-01-06,W,30,10,4,11,36.4,0,3,0.0,2,2,100,2,3,5,6,0,0,1,2,10,2020-21
2764,Brook Lopez,MIL,vs.DET,2021-01-06,W,28,17,6,9,66.7,4,7,57.1,1,1,100,1,3,4,5,0,2,0,1,13,2020-21
2765,Blake Griffin,DET,@MIL,2021-01-06,L,26,9,2,9,22.2,0,6,0.0,5,6,83.3,0,1,1,5,1,0,1,2,-19,2020-21
2766,Derrick Rose,DET,@MIL,2021-01-06,L,11,10,3,7,42.9,0,1,0.0,4,4,100,0,1,1,1,0,0,0,1,-6,2020-21
2767,Saben Lee,DET,@MIL,2021-01-06,L,12,4,1,5,20.0,0,1,0.0,2,4,50.0,1,0,1,1,2,0,3,1,3,2020-21
2768,Isaiah Stewart,DET,@MIL,2021-01-06,L,20,5,2,6,33.3,0,0,-,1,2,50.0,4,3,7,0,0,0,2,2,5,2020-21
2769,Saddiq Bey,DET,@MIL,2021-01-06,L,24,20,6,14,42.9,6,10,60.0,2,2,100,0,10,10,3,1,0,1,1,2,2020-21
2770,Jordan Nwora,MIL,vs.DET,2021-01-06,W,15,11,4,5,80.0,3,3,100,0,0,-,1,3,4,0,1,1,0,2,-5,2020-21
2771,Sekou Doumbouya,DET,@MIL,2021-01-06,L,13,0,0,0,-,0,0,-,0,0,-,0,2,2,1,0,1,0,3,-4,2020-21
2772,Svi Mykhailiuk,DET,@MIL,2021-01-06,L,14,8,3,8,37.5,2,6,33.3,0,0,-,0,2,2,4,0,0,0,1,-3,2020-21
2773,Bryn Forbes,MIL,vs.DET,2021-01-06,W,22,8,3,7,42.9,2,6,33.3,0,2,0.0,0,1,1,1,1,0,2,2,5,2020-21
2774,Bobby Portis,MIL,vs.DET,2021-01-06,W,28,16,7,11,63.6,2,5,40.0,0,0,-,1,9,10,4,2,0,1,3,-1,2020-21
2775,Thanasis Antetokounmpo,MIL,vs.DET,2021-01-06,W,12,8,4,4,100,0,0,-,0,0,-,0,2,2,1,0,0,0,1,-8,2020-21
2776,D.J. Augustin,MIL,vs.DET,2021-01-06,W,22,8,2,4,50.0,2,4,50.0,2,2,100,0,4,4,6,1,0,1,2,12,2020-21
2777,Wayne Ellington,DET,@MIL,2021-01-06,L,24,12,5,9,55.6,2,6,33.3,0,0,-,1,2,3,0,1,1,0,2,-17,2020-21
2778,Mason Plumlee,DET,@MIL,2021-01-06,L,17,4,2,5,40.0,0,0,-,0,0,-,2,3,5,1,0,1,2,4,-22,2020-21
2779,Rodney McGruder,DET,@MIL,2021-01-06,L,7,3,1,1,100,0,0,-,1,1,100,1,0,1,0,0,0,0,1,8,2020-21
2780,Jahlil Okafor,DET,@MIL,2021-01-06,L,11,6,3,5,60.0,0,0,-,0,0,-,2,1,3,0,0,0,0,0,2,2020-21
2781,Delon Wright,DET,@MIL,2021-01-06,L,25,3,1,8,12.5,1,5,20.0,0,0,-,0,1,1,3,1,0,0,0,-12,2020-21
2782,Deividas Sirvydis,DET,@MIL,2021-01-06,L,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,2,2020-21
2783,Jerami Grant,DET,@MIL,2021-01-06,L,35,31,9,20,45.0,2,6,33.3,11,11,100,4,6,10,1,0,0,0,2,-14,2020-21
2784,Solomon Hill,ATL,vs.CHA,2021-01-06,L,11,2,1,2,50.0,0,1,0.0,0,0,-,0,2,2,2,0,0,1,1,1,2020-21
2785,Gordon Hayward,CHA,@ATL,2021-01-06,W,39,44,15,25,60.0,4,9,44.4,10,12,83.3,2,5,7,2,1,1,1,3,10,2020-21
2786,Devonte' Graham,CHA,@ATL,2021-01-06,W,39,14,3,15,20.0,3,10,30.0,5,6,83.3,0,4,4,7,4,0,2,2,12,2020-21
2787,P.J. Washington,CHA,@ATL,2021-01-06,W,38,9,3,8,37.5,1,2,50.0,2,2,100,0,10,10,4,2,3,3,1,16,2020-21
2788,John Collins,ATL,vs.CHA,2021-01-06,L,32,23,9,16,56.3,0,0,-,5,7,71.4,4,7,11,1,1,0,2,4,-12,2020-21
2789,LaMelo Ball,CHA,@ATL,2021-01-06,W,24,13,5,11,45.5,1,4,25.0,2,2,100,2,6,8,5,0,0,1,2,0,2020-21
2790,Miles Bridges,CHA,@ATL,2021-01-06,W,22,2,0,5,0.0,0,3,0.0,2,2,100,2,4,6,2,2,0,0,2,10,2020-21
2791,Clint Capela,ATL,vs.CHA,2021-01-06,L,26,7,3,8,37.5,0,0,-,1,2,50.0,6,13,19,1,0,1,0,1,2,2020-21
2792,De'Andre Hunter,ATL,vs.CHA,2021-01-06,L,34,17,6,15,40.0,1,7,14.3,4,4,100,2,4,6,5,1,0,0,4,-4,2020-21
2793,Cam Reddish,ATL,vs.CHA,2021-01-06,L,27,8,3,15,20.0,0,8,0.0,2,2,100,0,4,4,2,1,0,1,1,-3,2020-21
2794,Terry Rozier,CHA,@ATL,2021-01-06,W,28,14,4,10,40.0,2,5,40.0,4,5,80.0,0,3,3,1,2,1,1,1,13,2020-21
2795,Brandon Goodwin,ATL,vs.CHA,2021-01-06,L,20,9,4,10,40.0,1,5,20.0,0,0,-,0,3,3,2,2,0,1,1,9,2020-21
2796,Cody Martin,CHA,@ATL,2021-01-06,W,11,2,0,2,0.0,0,1,0.0,2,2,100,0,2,2,0,0,0,0,0,-11,2020-21
2797,Nathan Knight,ATL,vs.CHA,2021-01-06,L,3,0,0,1,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,1,-8,2020-21
2798,Caleb Martin,CHA,@ATL,2021-01-06,W,15,2,1,4,25.0,0,2,0.0,0,0,-,0,1,1,0,0,0,1,1,-5,2020-21
2799,Kevin Huerter,ATL,vs.CHA,2021-01-06,L,33,19,7,15,46.7,5,12,41.7,0,0,-,0,5,5,6,0,0,1,4,-1,2020-21
2800,Trae Young,ATL,vs.CHA,2021-01-06,L,35,7,2,9,22.2,0,3,0.0,3,3,100,0,5,5,3,1,0,7,4,-15,2020-21
2801,Bismack Biyombo,CHA,@ATL,2021-01-06,W,24,2,1,5,20.0,0,0,-,0,2,0.0,2,6,8,1,0,2,0,2,-5,2020-21
2802,Bogdan Bogdanovic,ATL,vs.CHA,2021-01-06,L,18,2,1,5,20.0,0,3,0.0,0,0,-,0,2,2,3,0,0,0,4,-9,2020-21
2803,Jarrett Allen,BKN,vs.UTA,2021-01-05,W,32,19,8,9,88.9,0,0,-,3,7,42.9,5,13,18,1,3,2,0,1,20,2020-21
2804,Taurean Prince,BKN,vs.UTA,2021-01-05,W,20,8,3,9,33.3,1,5,20.0,1,1,100,0,0,0,2,0,1,0,2,13,2020-21
2805,Bruce Brown,BKN,vs.UTA,2021-01-05,W,23,6,3,5,60.0,0,1,0.0,0,0,-,0,6,6,5,0,0,1,1,20,2020-21
2806,Landry Shamet,BKN,vs.UTA,2021-01-05,W,7,5,1,3,33.3,1,3,33.3,2,2,100,0,1,1,1,0,0,0,0,7,2020-21
2807,Reggie Perry,BKN,vs.UTA,2021-01-05,W,7,5,2,4,50.0,0,1,0.0,1,1,100,0,5,5,1,0,0,3,3,7,2020-21
2808,Derrick Favors,UTA,@BKN,2021-01-05,L,13,2,1,1,100,0,0,-,0,0,-,0,4,4,0,0,1,0,3,-12,2020-21
2809,Chris Chiozza,BKN,vs.UTA,2021-01-05,W,6,0,0,0,-,0,0,-,0,0,-,1,0,1,1,0,1,0,0,5,2020-21
2810,Joe Ingles,UTA,@BKN,2021-01-05,L,23,7,2,6,33.3,1,2,50.0,2,2,100,0,3,3,2,0,0,2,3,-10,2020-21
2811,Royce O'Neale,UTA,@BKN,2021-01-05,L,25,10,4,7,57.1,2,5,40.0,0,0,-,0,5,5,0,0,0,1,3,-22,2020-21
2812,Shaquille Harrison,UTA,@BKN,2021-01-05,L,7,3,1,2,50.0,0,0,-,1,2,50.0,0,1,1,0,1,0,0,0,-7,2020-21
2813,Donovan Mitchell,UTA,@BKN,2021-01-05,L,30,31,10,22,45.5,3,8,37.5,8,10,80.0,0,4,4,4,0,0,3,3,-24,2020-21
2814,Udoka Azubuike,UTA,@BKN,2021-01-05,L,8,2,0,0,-,0,0,-,2,4,50.0,0,2,2,0,1,0,0,1,-7,2020-21
2815,Miye Oni,UTA,@BKN,2021-01-05,L,11,0,0,2,0.0,0,2,0.0,0,0,-,0,1,1,1,0,0,0,1,-8,2020-21
2816,Elijah Hughes,UTA,@BKN,2021-01-05,L,8,5,2,6,33.3,1,4,25.0,0,0,-,0,2,2,0,0,0,2,0,-7,2020-21
2817,Trent Forrest,UTA,@BKN,2021-01-05,L,8,2,0,0,-,0,0,-,2,2,100,0,0,0,1,1,0,0,1,-7,2020-21
2818,Kyrie Irving,BKN,vs.UTA,2021-01-05,W,30,29,12,19,63.2,5,7,71.4,0,0,-,0,6,6,5,3,0,2,3,22,2020-21
2819,Jeff Green,BKN,vs.UTA,2021-01-05,W,19,2,1,3,33.3,0,1,0.0,0,0,-,0,5,5,0,0,0,0,3,11,2020-21
2820,Timothe Luwawu-Cabarrot,BKN,vs.UTA,2021-01-05,W,24,11,5,9,55.6,1,5,20.0,0,0,-,0,3,3,1,0,0,1,2,13,2020-21
2821,Georges Niang,UTA,@BKN,2021-01-05,L,7,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,1,0,-2,2020-21
2822,Caris LeVert,BKN,vs.UTA,2021-01-05,W,21,24,9,18,50.0,2,5,40.0,4,4,100,0,1,1,5,2,0,2,1,16,2020-21
2823,Tyler Johnson,BKN,vs.UTA,2021-01-05,W,18,6,2,5,40.0,2,4,50.0,0,0,-,0,1,1,7,2,0,0,1,12,2020-21
2824,Joe Harris,BKN,vs.UTA,2021-01-05,W,23,10,4,7,57.1,2,4,50.0,0,0,-,0,0,0,1,1,0,2,0,17,2020-21
2825,Jordan Clarkson,UTA,@BKN,2021-01-05,L,20,12,5,13,38.5,2,5,40.0,0,0,-,1,1,2,0,2,0,4,0,-14,2020-21
2826,Rudy Gobert,UTA,@BKN,2021-01-05,L,27,10,3,10,30.0,0,0,-,4,5,80.0,6,5,11,3,0,2,0,1,-15,2020-21
2827,Bojan Bogdanovic,UTA,@BKN,2021-01-05,L,27,4,2,7,28.6,0,3,0.0,0,0,-,0,2,2,1,0,0,0,1,-23,2020-21
2828,DeAndre Jordan,BKN,vs.UTA,2021-01-05,W,9,5,2,2,100,0,0,-,1,1,100,2,2,4,1,0,1,1,5,7,2020-21
2829,Mike Conley,UTA,@BKN,2021-01-05,L,27,8,3,10,30.0,2,5,40.0,0,2,0.0,2,1,3,5,1,0,2,1,-12,2020-21
2830,Serge Ibaka,LAC,vs.SAS,2021-01-05,L,25,3,1,7,14.3,0,2,0.0,1,2,50.0,1,4,5,1,1,2,1,1,10,2020-21
2831,Nicolas Batum,LAC,vs.SAS,2021-01-05,L,36,21,8,12,66.7,2,5,40.0,3,3,100,1,8,9,3,1,1,2,2,17,2020-21
2832,Patrick Beverley,LAC,vs.SAS,2021-01-05,L,33,20,7,10,70.0,6,9,66.7,0,0,-,1,7,8,8,0,2,1,5,8,2020-21
2833,Kawhi Leonard,LAC,vs.SAS,2021-01-05,L,37,30,13,22,59.1,1,3,33.3,3,3,100,2,1,3,10,2,1,0,1,14,2020-21
2834,Amir Coffey,LAC,vs.SAS,2021-01-05,L,0,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,-3,2020-21
2835,LaMarcus Aldridge,SAS,@LAC,2021-01-05,W,25,14,6,16,37.5,2,6,33.3,0,0,-,2,4,6,2,1,0,1,0,-6,2020-21
2836,DeMar DeRozan,SAS,@LAC,2021-01-05,W,29,6,3,9,33.3,0,0,-,0,0,-,1,4,5,6,0,1,2,3,-20,2020-21
2837,Lonnie Walker IV,SAS,@LAC,2021-01-05,W,30,9,3,9,33.3,1,5,20.0,2,3,66.7,0,1,1,1,2,1,1,2,-10,2020-21
2838,Keldon Johnson,SAS,@LAC,2021-01-05,W,30,9,4,11,36.4,1,3,33.3,0,0,-,4,7,11,4,0,1,0,4,-14,2020-21
2839,Terance Mann,LAC,vs.SAS,2021-01-05,L,9,0,0,2,0.0,0,1,0.0,0,0,-,0,3,3,0,0,1,1,1,-20,2020-21
2840,Lou Williams,LAC,vs.SAS,2021-01-05,L,21,15,5,13,38.5,2,5,40.0,3,3,100,0,2,2,2,1,0,1,2,3,2020-21
2841,Rudy Gay,SAS,@LAC,2021-01-05,W,25,16,6,11,54.5,3,5,60.0,1,2,50.0,1,6,7,1,0,0,1,0,13,2020-21
2842,Patty Mills,SAS,@LAC,2021-01-05,W,29,27,8,16,50.0,8,12,66.7,3,4,75.0,0,1,1,1,1,0,1,0,8,2020-21
2843,Patrick Patterson,LAC,vs.SAS,2021-01-05,L,7,5,2,2,100,1,1,100,0,0,-,0,0,0,0,0,0,0,0,-5,2020-21
2844,Reggie Jackson,LAC,vs.SAS,2021-01-05,L,16,8,3,7,42.9,2,4,50.0,0,0,-,0,1,1,1,0,0,2,3,-21,2020-21
2845,Dejounte Murray,SAS,@LAC,2021-01-05,W,37,21,9,18,50.0,2,5,40.0,1,1,100,2,3,5,5,2,0,2,2,10,2020-21
2846,Jakob Poeltl,SAS,@LAC,2021-01-05,W,19,2,1,1,100,0,0,-,0,0,-,1,5,6,3,2,0,2,0,15,2020-21
2847,Ivica Zubac,LAC,vs.SAS,2021-01-05,L,19,2,1,1,100,0,0,-,0,0,-,1,7,8,0,1,0,2,0,-18,2020-21
2848,Luke Kennard,LAC,vs.SAS,2021-01-05,L,38,9,3,10,30.0,1,5,20.0,2,2,100,1,5,6,4,0,0,3,1,0,2020-21
2849,Devin Vassell,SAS,@LAC,2021-01-05,W,17,12,4,5,80.0,3,4,75.0,1,1,100,0,2,2,0,1,0,0,2,19,2020-21
2850,Gary Trent Jr.,POR,vs.CHI,2021-01-05,L,19,13,5,10,50.0,2,5,40.0,1,2,50.0,1,0,1,0,0,0,1,1,-5,2020-21
2851,Harry Giles III,POR,vs.CHI,2021-01-05,L,4,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,0,0,2020-21
2852,Derrick Jones Jr.,POR,vs.CHI,2021-01-05,L,31,5,2,7,28.6,0,3,0.0,1,4,25.0,2,1,3,1,3,1,1,0,-2,2020-21
2853,Jusuf Nurkic,POR,vs.CHI,2021-01-05,L,28,12,6,15,40.0,0,2,0.0,0,0,-,3,8,11,6,0,1,1,4,6,2020-21
2854,Robert Covington,POR,vs.CHI,2021-01-05,L,37,14,5,10,50.0,4,9,44.4,0,0,-,1,5,6,1,1,1,0,5,10,2020-21
2855,CJ McCollum,POR,vs.CHI,2021-01-05,L,36,26,10,21,47.6,6,14,42.9,0,0,-,0,5,5,4,3,0,5,3,4,2020-21
2856,Damian Lillard,POR,vs.CHI,2021-01-05,L,37,24,6,17,35.3,3,11,27.3,9,11,81.8,0,5,5,9,0,0,0,1,9,2020-21
2857,Carmelo Anthony,POR,vs.CHI,2021-01-05,L,28,12,4,9,44.4,4,6,66.7,0,0,-,0,4,4,0,1,0,2,1,-6,2020-21
2858,Anfernee Simons,POR,vs.CHI,2021-01-05,L,5,0,0,2,0.0,0,1,0.0,0,0,-,0,0,0,0,0,0,0,0,-6,2020-21
2859,Patrick Williams,CHI,@POR,2021-01-05,W,25,14,5,8,62.5,2,2,100,2,2,100,1,2,3,1,0,0,2,2,-4,2020-21
2860,Daniel Gafford,CHI,@POR,2021-01-05,W,10,2,1,2,50.0,0,0,-,0,0,-,2,0,2,0,0,1,0,1,-3,2020-21
2861,Coby White,CHI,@POR,2021-01-05,W,39,21,8,19,42.1,2,7,28.6,3,4,75.0,2,8,10,5,0,0,2,2,-1,2020-21
2862,Wendell Carter Jr.,CHI,@POR,2021-01-05,W,25,13,4,9,44.4,0,2,0.0,5,6,83.3,2,1,3,5,1,1,1,5,1,2020-21
2863,Denzel Valentine,CHI,@POR,2021-01-05,W,19,0,0,3,0.0,0,2,0.0,0,0,-,0,8,8,2,1,0,1,0,10,2020-21
2864,Zach LaVine,CHI,@POR,2021-01-05,W,43,18,6,18,33.3,3,10,30.0,3,3,100,0,4,4,9,0,2,4,2,1,2020-21
2865,Otto Porter Jr.,CHI,@POR,2021-01-05,W,28,19,7,14,50.0,4,7,57.1,1,2,50.0,2,11,13,1,0,0,0,2,4,2020-21
2866,Enes Kanter,POR,vs.CHI,2021-01-05,L,16,2,1,3,33.3,0,0,-,0,0,-,3,7,10,2,0,0,1,1,-5,2020-21
